Texto;Classificação;Título;Link
dia nacional do combate às drogas e ao alcoolismo;Consumo de Álcool;Um panorama através da pandemia do Covid-19;https://healthlake.com.br/artigos/consumo-de-alcool-e-suas-consequencias-um-panorama-atraves-da-pandemia-do-covid-19
abuso de álcool e drogas como problema de saúde pública;Consumo de Álcool;Um panorama através da pandemia do Covid-19;https://healthlake.com.br/artigos/consumo-de-alcool-e-suas-consequencias-um-panorama-atraves-da-pandemia-do-covid-19
dependência de um indivíduo a bebidas alcoólicas é conhecida como alcoolismo;Consumo de Álcool;Um panorama através da pandemia do Covid-19;https://healthlake.com.br/artigos/consumo-de-alcool-e-suas-consequencias-um-panorama-atraves-da-pandemia-do-covid-19
consumo descontrolado e contínuo de bebidas alcoólicas;Consumo de Álcool;Um panorama através da pandemia do Covid-19;https://healthlake.com.br/artigos/consumo-de-alcool-e-suas-consequencias-um-panorama-atraves-da-pandemia-do-covid-19
pessoas morreram devido ao consumo de álcool de origem desconhecida;Consumo de Álcool;Um panorama através da pandemia do Covid-19;https://healthlake.com.br/artigos/consumo-de-alcool-e-suas-consequencias-um-panorama-atraves-da-pandemia-do-covid-19
possível aumento de consumo de álcool devido ao isolamento social;Consumo de Álcool;Um panorama através da pandemia do Covid-19;https://healthlake.com.br/artigos/consumo-de-alcool-e-suas-consequencias-um-panorama-atraves-da-pandemia-do-covid-19
doenças provenientes do consumo de álcool;Consumo de Álcool;Um panorama através da pandemia do Covid-19;https://healthlake.com.br/artigos/consumo-de-alcool-e-suas-consequencias-um-panorama-atraves-da-pandemia-do-covid-19
Doença Alcoólica do Fígado e Transtornos Mentais e Comportamentais;Consumo de Álcool;Um panorama através da pandemia do Covid-19;https://healthlake.com.br/artigos/consumo-de-alcool-e-suas-consequencias-um-panorama-atraves-da-pandemia-do-covid-19
estados com maiores incidências de Doença Alcoólica do Fígado;Consumo de Álcool;Um panorama através da pandemia do Covid-19;https://healthlake.com.br/artigos/consumo-de-alcool-e-suas-consequencias-um-panorama-atraves-da-pandemia-do-covid-19
incidências de Transtornos Mentais e Comportamentais causados pela ingestão de álcool;Consumo de Álcool;Um panorama através da pandemia do Covid-19;https://healthlake.com.br/artigos/consumo-de-alcool-e-suas-consequencias-um-panorama-atraves-da-pandemia-do-covid-19
Quantidade de total de alcoolismo por estado;Consumo de Álcool;Análise Fevereiro – Alcoolismo;https://public.tableau.com/profile/health.lake#!/vizhome/AnliseFevereiro-Alcoolismo/Painel1
Série Histórica de Total em Quantidade e Variação do alcoolismo;Consumo de Álcool;Análise Fevereiro – Alcoolismo;https://public.tableau.com/profile/health.lake#!/vizhome/AnliseFevereiro-Alcoolismo/Painel1
Variação da quantidade total do alcoolismo;Consumo de Álcool;Análise Fevereiro – Alcoolismo;https://public.tableau.com/profile/health.lake#!/vizhome/AnliseFevereiro-Alcoolismo/Painel1
Quantidade de ocorrências por estado relacionadas ao alcoolismo, por tipo de causa;Consumo de Álcool;Análise Fevereiro – Alcoolismo;https://public.tableau.com/profile/health.lake#!/vizhome/AnliseFevereiro-Alcoolismo/Painel1
Sazonalidade por tipo de ocorrência relacionadas ao alcoolismo;Consumo de Álcool;Análise Fevereiro – Alcoolismo;https://public.tableau.com/profile/health.lake#!/vizhome/AnliseFevereiro-Alcoolismo/Painel1
Quantidade de ocorrências por tipo de ocorrência relacionadas ao alcoolismo;Consumo de Álcool;Análise Fevereiro – Alcoolismo;https://public.tableau.com/profile/health.lake#!/vizhome/AnliseFevereiro-Alcoolismo/Painel1
Dados sobre bebida alcoolica no Brasil;Consumo de Álcool;Análise Fevereiro – Alcoolismo;https://public.tableau.com/profile/health.lake#!/vizhome/AnliseFevereiro-Alcoolismo/Painel1
Informações sobre consumo de bebida na pandemia;Consumo de Álcool;Análise Fevereiro – Alcoolismo;https://public.tableau.com/profile/health.lake#!/vizhome/AnliseFevereiro-Alcoolismo/Painel1
Tabela com dados de consumo de alcool;Consumo de Álcool;Análise Fevereiro – Alcoolismo;https://public.tableau.com/profile/health.lake#!/vizhome/AnliseFevereiro-Alcoolismo/Painel1
Relação do alcoolismo com outros problemas durante a pandemia;Consumo de Álcool;Análise Fevereiro – Alcoolismo;https://public.tableau.com/profile/health.lake#!/vizhome/AnliseFevereiro-Alcoolismo/Painel1
Qual é a evolução acumulada de casos de covid confirmados versus a quantidade, ou número de óbitos?;Covid;Casos de COVID-19 no Brasil;https://public.tableau.com/profile/rcsalgueiro#!/vizhome/COVIDLake/Casosconfirmados?publish=yes
Qual é a evolução diária de casos de covid confirmados?;Covid;Casos de COVID-19 no Brasil;https://public.tableau.com/profile/rcsalgueiro#!/vizhome/COVIDLake/Casosconfirmados?publish=yes
Qual é a variação de casos de covid confirmados por dia?;Covid;Casos de COVID-19 no Brasil;https://public.tableau.com/profile/rcsalgueiro#!/vizhome/COVIDLake/Casosconfirmados?publish=yes
