Texto;Classificação;Título;Link
Lei Maria da Penha, n. 11.340, de 7 de agosto de 2006;Violência Contra Mulher;Violência Doméstica em Tempos de Pandemia Violência Contra Mulheres;https://healthlake.com.br/artigos/violencia-domestica-em-tempos-de-pandemia-violencia-contra-mulheres
cinco tipos de violência doméstica e familiar contra a mulher: física, psicológica, moral, sexual e patrimonial;Violência Contra Mulher;Violência Doméstica em Tempos de Pandemia Violência Contra Mulheres;https://healthlake.com.br/artigos/violencia-domestica-em-tempos-de-pandemia-violencia-contra-mulheres
denúncia que garantam a segurança da mulher;Violência Contra Mulher;Violência Doméstica em Tempos de Pandemia Violência Contra Mulheres;https://healthlake.com.br/artigos/violencia-domestica-em-tempos-de-pandemia-violencia-contra-mulheres
tipos de violência e localidades que tiveram aumento expressivo na violência doméstica;Violência Contra Mulher;Violência Doméstica em Tempos de Pandemia Violência Contra Mulheres;https://healthlake.com.br/artigos/violencia-domestica-em-tempos-de-pandemia-violencia-contra-mulheres
vitimização das mulheres em âmbito nacional;Violência Contra Mulher;Violência Doméstica em Tempos de Pandemia Violência Contra Mulheres;https://healthlake.com.br/artigos/violencia-domestica-em-tempos-de-pandemia-violencia-contra-mulheres
dados do Fórum Brasileiro de Segurança Pública;Violência Contra Mulher;Violência Doméstica em Tempos de Pandemia Violência Contra Mulheres;https://healthlake.com.br/artigos/violencia-domestica-em-tempos-de-pandemia-violencia-contra-mulheres
óbitos de mulheres causados por agressão;Violência Contra Mulher;Violência Doméstica em Tempos de Pandemia Violência Contra Mulheres;https://healthlake.com.br/artigos/violencia-domestica-em-tempos-de-pandemia-violencia-contra-mulheres
a quantidade de estupro, lesão corporal dolosa e ameaça com tipificação de violência doméstica;Violência Contra Mulher;Violência Doméstica em Tempos de Pandemia Violência Contra Mulheres;https://healthlake.com.br/artigos/violencia-domestica-em-tempos-de-pandemia-violencia-contra-mulheres
Dados sobre violência doméstica;Violência Contra Mulher;Violência Doméstica em Tempos de Pandemia Violência Contra Mulheres;https://healthlake.com.br/artigos/violencia-domestica-em-tempos-de-pandemia-violencia-contra-mulheres
Informações de violência contra a mulher;Violência Contra Mulher;Violência Doméstica em Tempos de Pandemia Violência Contra Mulheres;https://healthlake.com.br/artigos/violencia-domestica-em-tempos-de-pandemia-violencia-contra-mulheres
dia nacional do combate às drogas e ao alcoolismo;Consumo de Álcool;Um panorama através da pandemia do Covid-19;https://healthlake.com.br/artigos/consumo-de-alcool-e-suas-consequencias-um-panorama-atraves-da-pandemia-do-covid-19
abuso de álcool e drogas como problema de saúde pública;Consumo de Álcool;Um panorama através da pandemia do Covid-19;https://healthlake.com.br/artigos/consumo-de-alcool-e-suas-consequencias-um-panorama-atraves-da-pandemia-do-covid-19
dependência de um indivíduo a bebidas alcoólicas é conhecida como alcoolismo;Consumo de Álcool;Um panorama através da pandemia do Covid-19;https://healthlake.com.br/artigos/consumo-de-alcool-e-suas-consequencias-um-panorama-atraves-da-pandemia-do-covid-19
consumo descontrolado e contínuo de bebidas alcoólicas;Consumo de Álcool;Um panorama através da pandemia do Covid-19;https://healthlake.com.br/artigos/consumo-de-alcool-e-suas-consequencias-um-panorama-atraves-da-pandemia-do-covid-19
pessoas morreram devido ao consumo de álcool de origem desconhecida;Consumo de Álcool;Um panorama através da pandemia do Covid-19;https://healthlake.com.br/artigos/consumo-de-alcool-e-suas-consequencias-um-panorama-atraves-da-pandemia-do-covid-19
possível aumento de consumo de álcool devido ao isolamento social;Consumo de Álcool;Um panorama através da pandemia do Covid-19;https://healthlake.com.br/artigos/consumo-de-alcool-e-suas-consequencias-um-panorama-atraves-da-pandemia-do-covid-19
doenças provenientes do consumo de álcool;Consumo de Álcool;Um panorama através da pandemia do Covid-19;https://healthlake.com.br/artigos/consumo-de-alcool-e-suas-consequencias-um-panorama-atraves-da-pandemia-do-covid-19
Doença Alcoólica do Fígado e Transtornos Mentais e Comportamentais;Consumo de Álcool;Um panorama através da pandemia do Covid-19;https://healthlake.com.br/artigos/consumo-de-alcool-e-suas-consequencias-um-panorama-atraves-da-pandemia-do-covid-19
estados com maiores incidências de Doença Alcoólica do Fígado;Consumo de Álcool;Um panorama através da pandemia do Covid-19;https://healthlake.com.br/artigos/consumo-de-alcool-e-suas-consequencias-um-panorama-atraves-da-pandemia-do-covid-19
incidências de Transtornos Mentais e Comportamentais causados pela ingestão de álcool;Consumo de Álcool;Um panorama através da pandemia do Covid-19;https://healthlake.com.br/artigos/consumo-de-alcool-e-suas-consequencias-um-panorama-atraves-da-pandemia-do-covid-19
tratamentos oncológicos no Brasil;Tratamentos Oncológicos;Os Danos Silenciosos da COVID-19;https://healthlake.com.br/artigos/os-danos-silenciosos-da-covid-19
possíveis deficiências nos tratamentos oncológicos;Tratamentos Oncológicos;Os Danos Silenciosos da COVID-19;https://healthlake.com.br/artigos/os-danos-silenciosos-da-covid-19
números de tratamentos oncológicos;Tratamentos Oncológicos;Os Danos Silenciosos da COVID-19;https://healthlake.com.br/artigos/os-danos-silenciosos-da-covid-19
dados públicos dos pacientes oncológicos do Sistema Único de Saúde;Tratamentos Oncológicos;Os Danos Silenciosos da COVID-19;https://healthlake.com.br/artigos/os-danos-silenciosos-da-covid-19
Painel de Oncologia do Brasil;Tratamentos Oncológicos;Os Danos Silenciosos da COVID-19;https://healthlake.com.br/artigos/os-danos-silenciosos-da-covid-19
informações relacionadas ao tratamento de doenças oncológicas;Tratamentos Oncológicos;Os Danos Silenciosos da COVID-19;https://healthlake.com.br/artigos/os-danos-silenciosos-da-covid-19
número de diagnósticos de doenças oncológicas;Tratamentos Oncológicos;Os Danos Silenciosos da COVID-19;https://healthlake.com.br/artigos/os-danos-silenciosos-da-covid-19
números de tratamentos, tanto de Quimioterapia, quanto de Radioterapia;Tratamentos Oncológicos;Os Danos Silenciosos da COVID-19;https://healthlake.com.br/artigos/os-danos-silenciosos-da-covid-19
tratamento do câncer;Tratamentos Oncológicos;Os Danos Silenciosos da COVID-19;https://healthlake.com.br/artigos/os-danos-silenciosos-da-covid-19
doenças oncológicas na sua grande maioria são silenciosas;Tratamentos Oncológicos;Os Danos Silenciosos da COVID-19;https://healthlake.com.br/artigos/os-danos-silenciosos-da-covid-19
Qual é a evolução acumulada de casos de covid confirmados versus a quantidade, ou número de óbitos?;Covid;Casos de COVID-19 no Brasil;https://public.tableau.com/profile/rcsalgueiro#!/vizhome/COVIDLake/Casosconfirmados?publish=yes
Qual é a evolução diária de casos de covid confirmados?;Covid;Casos de COVID-19 no Brasil;https://public.tableau.com/profile/rcsalgueiro#!/vizhome/COVIDLake/Casosconfirmados?publish=yes
Qual é a variação de casos de covid confirmados por dia?;Covid;Casos de COVID-19 no Brasil;https://public.tableau.com/profile/rcsalgueiro#!/vizhome/COVIDLake/Casosconfirmados?publish=yes
Qual é a distribuição de casos de covid confirmados por estado?;Covid;Casos de COVID-19 no Brasil;https://public.tableau.com/profile/rcsalgueiro#!/vizhome/COVIDLake/Casosconfirmados?publish=yes
Quais são os estados com mais casos de covid confirmados?;Covid;Casos de COVID-19 no Brasil;https://public.tableau.com/profile/rcsalgueiro#!/vizhome/COVIDLake/Casosconfirmados?publish=yes
Qual é a evolução de casos de covid confirmados por estado?;Covid;Casos de COVID-19 no Brasil;https://public.tableau.com/profile/rcsalgueiro#!/vizhome/COVIDLake/Casosconfirmados?publish=yes
Qual é a distribuição de casos de covid confirmados por município?;Covid;Casos de COVID-19 no Brasil;https://public.tableau.com/profile/rcsalgueiro#!/vizhome/COVIDLake/Casosconfirmados?publish=yes
Quais são os municípios com mais casos de covid confirmados?;Covid;Casos de COVID-19 no Brasil;https://public.tableau.com/profile/rcsalgueiro#!/vizhome/COVIDLake/Casosconfirmados?publish=yes
Qual é a evolução de casos de covid confirmados por município?;Covid;Casos de COVID-19 no Brasil;https://public.tableau.com/profile/rcsalgueiro#!/vizhome/COVIDLake/Casosconfirmados?publish=yes
Novos casos de covid por semana;Covid;Evolução de mortes causadas pelo COVID-19 em 2020;https://public.tableau.com/profile/health.lake#!/vizhome/Covid_16057440996070/VisoGeral?publish=yes
Mortes por covid por semana;Covid;Evolução de mortes causadas pelo COVID-19 em 2020;https://public.tableau.com/profile/health.lake#!/vizhome/Covid_16057440996070/VisoGeral?publish=yes
Média de casos de covid por semana;Covid;Evolução de mortes causadas pelo COVID-19 em 2020;https://public.tableau.com/profile/health.lake#!/vizhome/Covid_16057440996070/VisoGeral?publish=yes
Média de mortes por covid por semana;Covid;Evolução de mortes causadas pelo COVID-19 em 2020;https://public.tableau.com/profile/health.lake#!/vizhome/Covid_16057440996070/VisoGeral?publish=yes
Evolução e média de casos de covid por dia;Covid;Evolução de mortes causadas pelo COVID-19 em 2021;https://public.tableau.com/profile/health.lake#!/vizhome/Covid_16057440996070/VisoGeral?publish=yes
Evolução diária de covid, média móvel;Covid;Evolução de mortes causadas pelo COVID-19 em 2022;https://public.tableau.com/profile/health.lake#!/vizhome/Covid_16057440996070/VisoGeral?publish=yes
Acúmulo de casos de covid por país, por dia;Covid;Evolução de mortes causadas pelo COVID-19 em 2023;https://public.tableau.com/profile/health.lake#!/vizhome/Covid_16057440996070/VisoGeral?publish=yes
Evolução de casos de covid por país;Covid;Evolução de mortes causadas pelo COVID-19 em 2024;https://public.tableau.com/profile/health.lake#!/vizhome/Covid_16057440996070/VisoGeral?publish=yes
